time,open,high,low,close,tick_volume
2014-09-08 00:00:00,1266.87,1271.63,1266.13,1270.39,4099
2014-09-08 01:00:00,1270.76,1271.53,1265.91,1266.78,11656
2014-09-08 02:00:00,1266.52,1267.03,1251.29,1255.74,43591
2014-09-09 00:00:00,1256.82,1257.98,1253.87,1254.78,13721
2014-09-09 01:00:00,1255.3,1257.37,1253.01,1256.82,17052
2014-09-09 02:00:00,1256.47,1257.69,1247.38,1256.54,42872
2014-09-10 00:00:00,1254.52,1257.45,1253.48,1257.29,13037
2014-09-10 01:00:00,1257.01,1257.58,1251.88,1253.48,15628
2014-09-10 02:00:00,1253.65,1254.55,1243.62,1249.43,44223
2014-09-11 00:00:00,1249.09,1249.98,1247.13,1247.74,11561
2014-09-11 01:00:00,1248.62,1249.97,1243.95,1244.14,19221
2014-09-11 02:00:00,1246.24,1246.78,1234.8,1241.07,45165
2014-09-12 00:00:00,1240.23,1241.45,1232.05,1233.17,12444
2014-09-12 01:00:00,1234.07,1239.87,1232.68,1236.75,15563
2014-09-12 02:00:00,1237.21,1238.97,1225.7,1230.43,43373
2014-09-15 00:00:00,1228.94,1234.82,1225.43,1233.12,11508
2014-09-15 01:00:00,1233.6,1236.44,1231.8,1234.94,14129
2014-09-15 02:00:00,1234.82,1238.34,1231.45,1233.63,30575
2014-09-16 00:00:00,1232.49,1238.28,1231.82,1236.23,10844
2014-09-16 01:00:00,1236.57,1241.89,1234.67,1240.96,14353
2014-09-16 02:00:00,1238.53,1241.89,1231.6,1235.62,40463
2014-09-17 00:00:00,1234.07,1238.04,1233.87,1236.67,7929
2014-09-17 01:00:00,1236.57,1238.91,1234.55,1237.57,11604
2014-09-17 02:00:00,1236.26,1239.05,1221.26,1223.39,42135
2014-09-18 00:00:00,1221.77,1223.83,1215.89,1223.29,16438
2014-09-18 01:00:00,1222.96,1225.36,1221.97,1222.78,16635
2014-09-18 02:00:00,1223.01,1227.78,1215.58,1225.22,41852
2014-09-19 00:00:00,1225.5,1228.44,1218.04,1225.1,13457
2014-09-19 01:00:00,1227.99,1228.14,1218.62,1221.48,23266
2014-09-19 02:00:00,1222.64,1225.65,1213.64,1216.55,45033
2014-09-22 00:00:00,1215.83,1217.74,1207.82,1213.42,17911
2014-09-22 01:00:00,1213.08,1215.97,1210.48,1212.95,13238
2014-09-22 02:00:00,1214.4,1220.28,1211.8,1215.18,38631
2014-09-23 00:00:00,1214.86,1219.08,1213.42,1218.57,10544
2014-09-23 01:00:00,1218.07,1226.99,1215.38,1225.07,18938
2014-09-23 02:00:00,1225.22,1234.99,1219.76,1224.07,46003
2014-09-24 00:00:00,1222.42,1224.0,1220.16,1222.93,11688
2014-09-24 01:00:00,1223.23,1225.92,1221.13,1223.16,14285
2014-09-24 02:00:00,1224.51,1225.43,1215.52,1216.71,34785
2014-09-25 00:00:00,1216.67,1216.86,1212.35,1213.9,8689
2014-09-25 01:00:00,1214.57,1214.84,1206.77,1209.27,16709
2014-09-25 02:00:00,1210.12,1224.31,1207.89,1220.56,45642
2014-09-26 00:00:00,1220.8,1228.26,1220.13,1223.32,12626
2014-09-26 01:00:00,1223.67,1231.14,1221.6,1223.3,16125
2014-09-26 02:00:00,1222.66,1223.75,1212.13,1217.06,30992
2014-09-29 00:00:00,1217.89,1219.2,1215.64,1217.58,13112
2014-09-29 01:00:00,1218.27,1220.79,1215.09,1219.8,13327
2014-09-29 02:00:00,1218.83,1223.12,1214.75,1215.8,33675
2014-09-30 00:00:00,1214.89,1218.77,1214.42,1217.74,9033
2014-09-30 01:00:00,1217.73,1217.98,1208.48,1210.05,14327
2014-09-30 02:00:00,1209.84,1219.96,1204.31,1207.85,49152
2014-10-01 00:00:00,1208.21,1209.8,1204.46,1206.55,12923
2014-10-01 01:00:00,1206.17,1209.86,1205.3,1208.08,14214
2014-10-01 02:00:00,1209.24,1219.17,1207.74,1213.77,40780
2014-10-02 00:00:00,1213.09,1222.28,1212.02,1219.25,11474
2014-10-02 01:00:00,1219.78,1221.33,1210.2,1214.3,18663
2014-10-02 02:00:00,1212.99,1218.83,1208.48,1213.84,42652
2014-10-03 00:00:00,1213.53,1215.08,1210.82,1212.73,8095
2014-10-03 01:00:00,1212.68,1212.88,1205.1,1206.28,11781
2014-10-03 02:00:00,1207.41,1209.2,1189.86,1190.73,40146
2014-10-06 00:00:00,1187.27,1190.1,1182.77,1188.33,12584
2014-10-06 01:00:00,1188.31,1195.13,1187.42,1194.44,14580
2014-10-06 02:00:00,1193.54,1208.93,1193.35,1206.68,37175
2014-10-07 00:00:00,1206.28,1206.97,1202.81,1203.85,7530
2014-10-07 01:00:00,1204.64,1212.45,1203.15,1205.18,16753
2014-10-07 02:00:00,1205.8,1213.31,1203.4,1209.22,35831
2014-10-08 00:00:00,1209.04,1214.34,1208.99,1212.02,8271
2014-10-08 01:00:00,1212.22,1220.54,1210.9,1217.39,15251
2014-10-08 02:00:00,1218.26,1223.91,1204.79,1221.82,49023
2014-10-09 00:00:00,1219.81,1225.94,1218.62,1224.94,9254
2014-10-09 01:00:00,1225.12,1229.79,1223.78,1228.47,16794
2014-10-09 02:00:00,1227.58,1233.19,1221.91,1224.14,44414
2014-10-10 00:00:00,1223.82,1224.83,1220.56,1222.42,10493
2014-10-10 01:00:00,1222.16,1223.77,1217.2,1221.85,16189
2014-10-10 02:00:00,1221.65,1225.32,1218.83,1222.87,31439
2014-10-13 00:00:00,1227.15,1234.77,1225.97,1233.05,14168
2014-10-13 01:00:00,1232.43,1237.58,1226.28,1227.5,17086
2014-10-13 02:00:00,1228.05,1235.78,1224.9,1234.74,31806
2014-10-14 00:00:00,1235.97,1236.95,1233.31,1234.15,12531
2014-10-14 01:00:00,1233.76,1235.23,1232.01,1233.02,16564
2014-10-14 02:00:00,1233.3,1238.13,1230.81,1232.1,41566
2014-10-15 00:00:00,1232.34,1232.34,1223.66,1227.08,14672
2014-10-15 01:00:00,1227.61,1228.33,1221.7,1223.03,16367
2014-10-15 02:00:00,1222.61,1249.51,1222.11,1241.73,77770
2014-10-16 00:00:00,1239.82,1245.07,1237.18,1240.1,17093
2014-10-16 01:00:00,1240.56,1244.05,1237.7,1241.39,24312
2014-10-16 02:00:00,1242.43,1244.23,1235.28,1238.13,59924
2014-10-17 00:00:00,1238.1,1239.45,1236.42,1237.98,8649
2014-10-17 01:00:00,1238.64,1241.57,1236.08,1237.02,13520
2014-10-17 02:00:00,1237.41,1240.39,1231.53,1237.75,38734
2014-10-20 00:00:00,1237.21,1238.05,1234.54,1235.85,7448
2014-10-20 01:00:00,1235.64,1243.18,1235.44,1241.52,12145
2014-10-20 02:00:00,1240.58,1248.61,1240.26,1246.37,28120
2014-10-21 00:00:00,1246.72,1248.08,1245.22,1247.68,7017
2014-10-21 01:00:00,1247.13,1253.66,1246.54,1248.32,19972
2014-10-21 02:00:00,1248.63,1255.13,1246.38,1248.3,35323
2014-10-22 00:00:00,1248.82,1249.61,1246.98,1247.83,5952
2014-10-22 01:00:00,1248.18,1249.24,1244.75,1245.95,10016
2014-10-22 02:00:00,1245.8,1249.08,1240.3,1240.3,29432
2014-10-23 00:00:00,1241.5,1243.66,1241.04,1241.97,7545
2014-10-23 01:00:00,1241.85,1244.48,1237.39,1239.05,10951
2014-10-23 02:00:00,1238.67,1239.89,1226.14,1231.88,35021
2014-10-24 00:00:00,1232.01,1233.2,1228.82,1229.78,9189
2014-10-24 01:00:00,1229.9,1234.14,1229.61,1231.92,9978
2014-10-24 02:00:00,1232.12,1234.08,1228.54,1230.5,27208
2014-10-27 00:00:00,1228.38,1231.92,1227.34,1230.39,6907
2014-10-27 01:00:00,1230.64,1231.64,1228.36,1230.34,10255
2014-10-27 02:00:00,1230.35,1231.63,1224.47,1224.47,22128
2014-10-28 00:00:00,1226.17,1232.14,1222.38,1227.44,17936
2014-10-28 01:00:00,1227.57,1230.66,1226.9,1228.11,9869
